Id,Label,timeset,interval,name,type,street,city,st,zip,phone,latitude,longitude,background_map_node,lat,lng
2,Independent,,,Bisbee Food Co-opcoop,0,72 Erie Street,Bisbee,AZ,85603,(520) 432-4011,31.430757,-109.894566,,,
3,Independent,,,Sierra Vista Food Cooperative coop,0,96 South Carmichael Ave,Sierra Vista,AZ,85635,(520) 335-6676,31.552385,-110.299917,,,
4,Independent,,,Summercorn Foods,0,1410 Cato Springs Road,Fayetteville,AR,72701,(501) 521-9338,36.041714,-94.18136,,,
5,Independent,,,Arroyo Food Coopcoop,0,494 N. Wilson Ave.,Pasadena,CA,91106,(626) 568-2799,34.154548,-118.127946,,,
6,Independent,,,Bolinas Peoples Store,0,P. O. Box 808,Bolinas,CA,94924,(415) 868-1433,37.94134,-122.718263,,,
7,Independent,,,Caju Food Coopcoop,0,1895 W Commonwealth Ave. #B,Fullerton,CA,92833,(714) 773-4984,33.870087,-117.962942,,,
8,Independent,,,Corners of the Mouth Natural Foods,0,45015 Ukiah Street PO Box 367,Mendocino,CA,95460,(707) 937-5345,39.30596,-123.799242,,,
9,Independent,,,Kresge Food Co-op,0,"600 Kresge CT, Kresge College UCSC",Santa Cruz,CA,95064,(831) 426-1506,36.99737,-122.067054,,,
10,Independent,,,Other Avenues Community Food Store,0,3930 Judah Street,San Francisco,CA,94122,(415) 661-7475,37.760742,-122.504339,,,
11,Independent,,,Placerville Natural Food Co-opcoop,0,535 Placerville Drive,Placerville,CA,95667,(530) 621-3663,38.733469,-120.826114,,,
12,Independent,,,Rainbow Grocery Co-opcoop,0,1745 Folsom Street,San Francisco,CA,94103,(415) 863-0620,37.769109,-122.415058,,,
13,Independent,,,Santa Rosa Community Market & Café,0,1899 Mendocino Avenue,Santa Rosa,CA,95401,(707) 546-1806,38.458838,-122.717442,,,
14,Independent,,,The Cooperative Grocery (The CoG),0,1450 67th Street,Emeryville,CA,95616,(510) 868-2883,37.848666,-122.293618,,,
15,Independent,,,The Food Coop,0,"0323F Student Cooperative Center,",San Diego,CA,92093,(619) 546-8339,32.877058,-117.230578,,,
16,Independent,,,All Things Homestead,0,(mailing) PO Box 1745,Castle Rock,CO,80104,(303) 578-6430,39.302168,-104.817963,,,
17,Independent,,,Boulder Co-op Market,0,1904 Pearl Street,Boulder,CO,80302,(303) 447-2667,40.019537,-105.270333,,,
18,Independent,,,Comida Marketcoop,0,131 E Main St,Trinidad,CO,81082,(719) 846-7869,38.477973,-107.879394,,,
19,Independent,,,Durango Natural Foods,0,575 E 8th Avenue,Durango,CO,81301,(970) 257-8129,37.268015,-107.872515,,,
20,Independent,,,Fort Collins Food Co-op,0,250 East Mountain Avenue,Fort Collins,CO,80524,(970) 484-7448,40.587423,-105.075092,,,
21,Independent,,,High Plains Food Coop,0,"5655 S. Yosemite St., Suite 400",Greenwoods Village,CO,80111,(785) 626-3640,39.615116,-104.886582,,,
22,Independent,,,Huajatollas Food Co-op,0,106 County Road 632,Gardner,CO,81040,(719) 746-2314,37.78546,-105.230774,,,
23,Independent,,,Mountain People's Co-op,0,30 E. First St PO Box 161,Nederland,CO,80466,(303) 258-7500,39.961692,-105.509748,,,
24,Independent,,,Rainbow Gardens Co-op,0,655 Tabernash Drive,Ridgeway,CO,81432,(970) 626-9720,38.14626,-107.758147,,,
25,Independent,,,SDA Coop,0,106 Division Avenue,Sterling,CO,80751,(970) 265-2642,40.624506,-103.211602,,,
26,Independent,,,Valley Food Co-opcoop,0,3211 Main Street St. G,Alamosa,CO,81101,(719) 589-5727,37.483691,-105.829953,,,
27,Independent,,,Wholistic Food Options,0,231 Salem Turnpike,Norwich,CT,6360,(860) 848-7199,41.507432,-72.124181,,,
28,Independent,,,Bread and Roses Food Cooperativecoop,0,915-2 Railroad Avenue,Tallahassee,FL,32301,(850) 425-8486,30.433991,-84.289426,,,
29,Independent,,,Citizens Co-opcoop,0,435 So. Main St.,Gainesville,FL,32601,(352) 505-6575,29.647329,-82.324835,,,
30,Independent,,,Essentials For Life,0,2106 Flora Avenue,Ft. Myers,FL,33907,(239) 939-2529,26.558691,-81.869997,,,
31,Independent,,,Gregg L. Friedman MD Organic Coopcoop,0,"2500 East Hallandale Beach Blvd, Suite 702",Hallandale Beach,FL,33009,(954) 456-1996,25.985675,-80.124292,,,
32,Independent,,,Homegrown Local Food Cooperative,0,2310 N Orange Ave,Orlando,FL,32804,(407) 895-5559,28.572603,-81.373028,,,
33,Independent,,,Jumplight Farms,0,9219 Lantern Drive,Lake Worth,FL,33467,(561) 427-7296,26.606195,-80.193196,,,
34,Independent,,,Kissimmee Organic Co-op,0,4830 Lake Cecile Drive,Kissimmee,FL,34746,(407) 870-9839,28.32357,-81.476067,,,
35,Independent,,,Little River Co-op,0,3218 Palmetto Rd.,Wimauma,FL,33598,(702) 995-1092,27.65683,-82.365934,,,
36,Independent,,,Seminole Natural Foods,0,1550 Warwick Place,Longwood,FL,32750,(407) 699-1883,28.692643,-81.376306,,,
37,Independent,,,"Sunseed Food Co-op, Inc.",0,6615 N. Atlantic Avenue,Cape Canaveral,FL,32920,(321) 784-0930,28.377516,-80.606024,,,
38,Independent,,,West Orlando Healthy Families,0,6813 Hyland Oaks Rd.,Orlando,FL,32818,(407) 522-9548,28.600927,-81.47719,,,
39,Independent,,,Southern Mountain Livin @ Mountain View Farmcoop,0,189 John Abernathy Rd,Blairsville,GA,30512,(706) 897-3396,34.855964,-83.970959,,,
41,Independent,,,Pocatello Co-opcoop,0,515 N. Main St,Pocatello,ID,83204,(208) 232-2181,42.865172,-112.454292,,,
42,Independent,,,South Suburban Food Co-opcoop,0,208 Forest Blvd,Park Forest,IL,60466,(708) 747-2256,41.485618,-87.678709,,,
43,Independent,,,Straddle Creek Food Co-op,0,112 Market Street - West,Mt. Carroll,IL,61053,(815) 244-2667,42.10124,-89.979006,,,
44,Independent,,,Bloomingfoods Downtown,0,419 East Kirkwood Avenue,Bloomington,IN,47408,(812) 336-5300,39.166635,-86.529515,,,
45,Independent,,,City Foods Co-opcoop,0,632 Main St,Lafayette,IN,47901,(765) 414-1136,40.419309,-86.889675,,,
46,Independent,,,Clear Creek Food Co-op,0,"701 West National Road, Earlham",Richmond,IN,47374,(765) 983-1547,39.825618,-84.919306,,,
47,Independent,,,Lost River Market & Delicoop,0,26 Library Street,Paoli,IN,47454,(812) 723-3735,38.556842,-86.467339,,,
48,Independent,,,Pogue's Run Grocercoop,0,2828 E. 10th St.,Indianapolis,IN,0,(317) 426-4963,39.781436,-86.115617,,,
49,Independent,,,Purple Porch Co-op,0,123 N. Hill St,South Bend,IN,46624,(574) 274-9889,41.676606,-86.242951,,,
50,Independent,,,River City Food Co-op,0,116 Washington,Evansville,IN,47713,(812) 423-1183,37.963219,-87.563222,,,
51,Independent,,,Terre Foods Cooperative Marketcoop startup,0,PO Box 9254,Terre Haute,IN,47808,(812) 201-7910,39.512735,-87.351994,,,
52,Independent,,,Dubuque Food Co-opcoop,0,955 Washington Street #107,Dubuque,IA,52001,(563) 557-4400,42.503542,-90.662975,,,
53,Independent,,,Iowa Food Cooperative,0,3800 Merle Hay Road #1215,Des Moines,IA,50310,(515) 978-1034,41.63005,-93.699963,,,
54,Independent,,,Amazing Grains,0,901 Mississippi,Lawrence,KS,66044,(785) 841-5510,38.967225,-95.244379,,,
55,Independent,,,People's Grocery Co-Opcoop,0,1620 Fort Riley Blvd #101,Manhattan,KS,66213,(785) 539-4811,39.174663,-96.582545,,,
56,Independent,,,Prairieland Market,0,138 S. 4th,Salinas,KS,67401,(785) 827-5877,38.839108,-97.606821,,,
57,Independent,,,Topeka Natural Food Coop,0,503 SW Washburn Ave,Topeka,KS,66606,(785) 235-2309,39.058346,-95.69262,,,
58,Independent,,,"Otherworld Food Co-op, Inc.",0,1865 Celina Road,Burkesville,KY,42717,(270) 433-7400,36.7543,-85.370848,,,
59,Independent,,,New Orleans Food Co-opcoop,0,2372 St. Claude Avenue St. 110,New Orleans,LA,70117,(504) 264-5579,29.968728,-90.052634,,,
60,Independent,,,Barrels Community Marketcoop,0,74 Main St,Waterville,ME,4901,(207) 660-4844,44.549634,-69.630106,,,
61,Independent,,,Eat Local Eastport Co-op,0,49 Water St,Eastport,ME,4631,(207) 853-7138,44.90417,-66.984214,,,
62,Independent,,,Fare Share Market,0,443 Main Street,Norway,ME,4268,(207) 743-9044,44.213914,-70.543116,,,
63,Independent,,,Gardiner Food Co-op & Cafécoop,0,Water St.,Gardiner,ME,4345,(207) 485-0175,44.198225,-69.784811,,,
64,Independent,,,Good Tern Natural Foods Co-op,0,750 S. Main Street,Rockland,ME,4841,(207) 594-8822,44.112143,-69.106719,,,
65,Independent,,,Market Street Co-Opcoop,0,26 Market Street,Fort Kent,ME,4743,(207) 231-5065,47.256802,-68.58779,,,
66,Independent,,,Oxford Hills Food Cooperative,0,35 Cottage Street,Norway,ME,4268,(207) 743-8049,44.215737,-70.540134,,,
67,Independent,,,Bethesda Co-op,0,6500 Seven Locks Road,Cabin John,MD,20818,(301) 320-2531,38.975282,-77.162229,,,
68,Independent,,,Glut Food Co-op,0,4005 34th Street,Mt. Rainier,MD,20712,(301) 779-1978,38.938293,-76.960657,,,
69,Independent,,,Greenbelt Consumer Cooperative,0,121 Centerway,Greenbelt,MD,20770,(301) 474-0522,39.000498,-76.877197,,,
70,Independent,,,Maryland Food Co-op,0,B-0203 Stamp Student Union Univ,College Park,MD,20742,(301) 314-8089,38.98963,-76.94569,,,
71,Independent,,,Takoma Park Silver Spring Coop,0,8309 Grubb Road,Silver Spring,MD,20910,(240) 247-2667,38.992713,-77.049071,,,
72,Independent,,,Valley Co-op of Washington Countycoop,0,19946A National Pike,Hagerstown,MD,21740,(240) 329-2395,39.59298,-77.677821,,,
73,Independent,,,Westminster Consumers Coop,0,28 Westminster Shopping Center,Westminster,MD,21157,(410) 848-3200,39.577723,-77.001784,,,
74,Independent,,,Farmer Dave's,0,437 Parker Road,Dracut,MA,1826,(978) 349-1952,42.679693,-71.264229,,,
75,Independent,,,Leverett Village Co-op,0,180 Rattlesnake Gutter Road,Leverett,MA,1054,(413) 367-9794,42.492642,-72.472991,,,
76,Independent,,,Mixed Nuts,0,Hampshire College 893 W Street,Amherst,MA,1002,(413) 549-4600,42.374897,-72.462083,,,
77,Independent,,,People's Market,0,Student Union Rm 328 Univ Mass,Amherst,MA,1003,(413) 545-2060,42.391907,-72.524759,,,
78,Independent,,,River Valley Market,0,P.O. Box 1245,Northampton,MA,1061,(802) 722-4212,42.323341,-72.690352,,,
79,Independent,,,Wachusett  Food Co-op,0,21 Avery Heights Drive Box 205,Holden,MA,1520,(508) 829-4797,42.344248,-71.867337,,,
80,Independent,,,Cass Corridor Food Co-op,0,456 Charlotte Street,Detroit,MI,48201,(313) 831-7452,42.343107,-83.060427,,,
81,Independent,,,East Lansing Food Co-op,0,4960 Northwind,East Lansing,MI,48823,(517) 337-1266,42.727056,-84.455076,,,
82,Independent,,,Hartland's Nutrition Connection Cooperative,0,"1898 Korte Street, PO Box 530",Hartland,MI,48353,(810) 632-7952,42.632009,-83.733645,,,
83,Independent,,,Hillsdale Family Food Co-op,0,31 N. Broad,Hillsdale,MI,49242,(517) 439-1397,41.920928,-84.630995,,,
84,Independent,,,Northwind Natural Foods Co-opcoop,0,116 S. Suffolk Street,Ironwood,MI,49938,(906) 932-3547,46.454756,-90.168496,,,
85,Independent,,,Organic Buying Club Metro Detroit,0,16704 15 Mile Road,Fraser,MI,48026,(866) 602-3848,42.553429,-82.951794,,,
86,Independent,,,People's Food Co-op & Café Verde,0,214-216 N. 4th Avenue,Ann Arbor,MI,48104,(734) 994-9174,42.282911,-83.747082,,,
87,Independent,,,People's Food Co-op of Kalamazoo,0,436 Burdick St. South,Kalamazoo,MI,49007,(616) 342-5686,42.288263,-85.583161,,,
88,Independent,,,Rainbow Health Foods,0,66783 Gratiot Avenue,Richmond,MI,48062,(810) 727-5475,42.790909,-82.73951,,,
89,Independent,,,West Michigan Co-op,0,1111 Godfrey SW,Grand Rapids,MI,49503,(616) 248-0760,42.943228,-85.68476,,,
90,Independent,,,Woodland Food Co-op,0,116 N. Main Street,Woodland,MI,48897,(616) 367-4188,42.727359,-85.134102,,,
91,Independent,,,Countryside Co-op,0,P.O.Box 262 Hwy 371 South,Hackensack,MN,56452,(218) 675-6865,46.947274,-94.46366,,,
92,Independent,,,Crow Wing Food Co-op,0,823 Washington Street,Brainerd,MN,56401,(218) 828-4600,46.358235,-94.196236,,,
93,Independent,,,Everybody's Healthfood Market,0,11 1st Street N.,Long Prairie,MN,56347,(320) 732-3900,45.974492,-94.864107,,,
94,Independent,,,Finland Cooperative,0,Box E Main Street,Finland,MN,55603,(218) 353-7389,47.558401,-91.263934,,,
95,Independent,,,Good Earth Food Co-op,0,2010 8th Street N Centennial Plaza,St. Cloud,MN,56303,(612) 253-9290,45.574373,-94.211674,,,
96,Independent,,,Granary Food Co-opcoop,0,225 2nd Street NW,Ortonville,MN,56278,(320) 839-6204,45.3058,-96.446157,,,
97,Independent,,,GrassRoots Cooperative and Cafecoop,0,1917 2nd Ave S,Anoka,MN,55303,(763) 427-4340,45.197292,-93.389645,,,
98,Independent,,,Harvest Food Co-op,0,137 East Front Street,Owatonna,MN,55060,(507) 451-0340,44.089438,-93.224387,,,
99,Independent,,,Ideal Green Market Cooperativecoop,0,34988 County Rd 39,Pequot Lakes,MN,56472,(218) 543-6565,46.660378,-94.198372,,,
100,Independent,,,Kandi Cupboard,0,412 Litchfield Avenue SW,Willmar,MN,56201,(320) 235-9477,45.121491,-95.04876,,,
101,Independent,,,Linden Hills Natural Home,0,2822 West 43rd Street,Minneapolis,MN,55410,(612) 279-2479,44.924957,-93.315651,,,
102,Independent,,,Mille Lacs Area Food Co-op,0,Main Street,Isle,MN,56342,(320) 676-3813,46.181311,-93.408133,,,
103,Independent,,,Minnesota Street Marketcoop,0,27 West Minnesota Street,Saint Joseph,MN,56374,(320) 363-7733,45.564469,-94.319549,,,
104,Independent,,,Mississippi Market Natural Foods Co-opcoop,0,740 7th Street,East St. Paul,MN,55106,(651) 495-5602,44.959316,-93.070089,,,
105,Independent,,,Natural Foods Co-op/Market,0,230 N. Sibley Ave,Litchfield,MN,55355,(320) 693-7539,45.098635,-94.53992,,,
106,Independent,,,North County Cooperative Grocery,0,1929 S 5th,Minneapolis,MN,55454,(612) 338-3110,44.968634,-93.244436,,,
107,Independent,,,Oak Center General Store Food Co-op,0,Rt. 1 Box 52BB / Highway 63,Lake City,MN,55041,(507) 753-2080,44.39403,-92.320227,,,
108,Independent,,,Plum Creek Food Co-op,0,910 4th Avenue,Windom,MN,56101,(507) 831-1882,43.865539,-95.117799,,,
109,Independent,,,Pomme De Terre Food Co-op,0,613 Atlantic Avenue,Morris,MN,56267,(320) 589-4332,45.587712,-95.915864,,,
110,Independent,,,Rainbow Food Co-op,0,103 South Main St,Blue Earth,MN,56013,(507) 526-3603,43.638349,-94.102396,,,
111,Independent,,,Riverbend Market Cooperative,0,417 Main St,Red Wing,MN,55066,(651) 267-2442,44.565059,-92.536153,,,
112,Independent,,,Wintergreen Food Coop,0,1414 West Main Street,Albert Lea,MN,56007,(507) 373-0386,43.646791,-93.39001,,,
113,Independent,,,"Rainbow Whole Foods Co-op Grocery, Deli and Café",0,2807 Old Canton Road,Jackson,MS,39216,(601) 366-1602,32.333918,-90.174659,,,
114,Independent,,,Good Earth Market,0,3115 10th Avenue N,Billings,MT,59101,(406) 259-2622,45.788491,-108.518482,,,
115,Independent,,,Good Food Store,0,920 Kensington,Missoula,MT,59802,(406) 728-5823,46.853611,-114.012592,,,
116,Independent,,,"Affiliated Food Co-op, Inc.",0,13th Street & Omaha Avenue,Norfolk,NE,68701,(402) 371-0555,42.02137,-97.443619,,,
117,Independent,,,Winnetoon Mall Co-op,0,312 W. Main Street,Winnetoon,NE,68789,(402) 847-3368,42.513166,-97.961002,,,
118,Independent,,,14 Carrots Natural Foods Co-op,0,277 Newport Rd,New London,NH,3257,(603) 526-2323,43.42284,-72.002232,,,
119,Independent,,,Hanover Co-op: Lebanon,0,Centerra Resource Park Route 120,Lebanon,NH,3766,(603) 643-4889,43.63466,-72.237199,,,
120,Independent,,,George Street Co-op,0,89 Morris Street,New Brunswick,NJ,8901,(732) 247-8280,40.491768,-74.445003,,,
121,Independent,,,In Good Taste,0,1301 N Delsea Drive,Vineland,NJ,8360,(609) 794-4856,39.505767,-75.041498,,,
122,Independent,,,Jersey City Food Co-Operative,0,440 Hoboken Avenue,Jersey City,NJ,7306,(201) 500-JCFC,40.734523,-74.05766,,,
123,Independent,,,Purple Dragon Co-op,0,289 Washington Street,Glen Ridge,NJ,7028,(973) 429-0391,40.794811,-74.208555,,,
124,Independent,,,Sussex County Food  Co-op,0,30 Moran Street,Newton,NJ,7860,(973) 579-1882,41.058911,-74.750264,,,
125,Independent,,,Mountain View Marketcoop,0,"1300 El Paseo Road South, Suite M",Las Cruces,NM,88001,(505) 523-0436,32.297043,-106.771761,,,
126,Independent,,,Chatham Real Food Market Co-opcoop,0,15 Church Street (Route 203),Chatham,NY,12037,(518) 392-3353,42.356902,-73.601922,,,
127,Independent,,,Community Co-op,0,589 E. Albany Street,Little Falls,NY,13365,(315) 823-0686,43.0436,-74.8558,,,
128,Independent,,,Esperance Co-op,0,Box 204 Rd #1,Pattersonville,NY,12066,(518) 864-5506,42.78056,-74.310531,,,
129,Independent,,,Food Finder's,0,PO Box 177,Pawling,NY,12564,(845) 855-3467,41.577498,-73.586769,,,
130,Independent,,,Good Cheap Food,0,53 Main Street,Delhi,NY,13753,(607) 746-6562,42.2753,-74.9191,,,
131,Independent,,,High Falls Food Coop,0,1398 State Road 213,High Falls,NY,12440,(845) 687-7262,41.8298,-74.135131,,,
132,Independent,,,Lexington Co-operative Market,0,807 Elmwood Avenue,Buffalo,NY,14222,(716) 886-2667,42.9193,-78.8768,,,
133,Independent,,,Light Foods Co-op,0,73 Church Street,Malverne,NY,11565,(516) 561-5654,40.676206,-73.666911,,,
134,Independent,,,Mohawk Harvest Cooperative Market,0,51 North Main Street,Gloversville,NY,12078,(518) 706-0681,43.051907,-74.344684,,,
135,Independent,,,North Country Co-op,0,25 Bridge Street,Plattsburg,NY,12901,(518) 561-5904,44.6978,-73.4518,,,
136,Independent,,,Potsdam Consumer Co-op,0,24 Elm Street,Potsdam,NY,13676,(315) 265-4630,44.7461,-74.9977,,,
137,Independent,,,Rene Pujol Restaurant Cooperative,0,321 West 51st Street,New York,NY,10019,(212) 246-3023,40.76344,-73.98661,,,
138,Independent,,,Suny Binghamton Co-op,0,Student Union Suny Binghamton,Binghamton,NY,13905,(607) 777-4258,42.180177,-75.944714,,,
139,Independent,,,The Village Store Co-op,0,25 East Main Street,Cambridge,NY,12816,(518) 677-5731,43.0281,-73.38,,,
140,Independent,,,Twin Pines Food Co-op - Thrift Shop- Kayak Club,0,382 Main Street,Port Washington,NY,11050,(516) 883-9777,40.830569,-73.701979,,,
141,Independent,,,Company Shops Market,0,PO Box 152,Elon,NC,27244,(336) 314-1972,36.210025,-79.487862,,,
142,Independent,,,Durham Co-op Grocery,0,1101 W Chapel Hill Street,Durham,NC,27701,(919) 490-0929,35.996597,-78.915869,,,
143,Independent,,,Renaissance Community Co-opcoop,0,2517 Phillips Avenue,Greensboro,NC,27405,(336) 638-1722,36.096146,-79.744108,,,
144,Independent,,,Rich Harvest,0,215 Hubert Norris Road,Boone,NC,28607,(828) 265-0432,36.286082,-81.652744,,,
145,Independent,,,Amazing Grains Natural Food Market,0,214 De Mers,Grand Forks,ND,58201,(701) 775-4542,47.925794,-97.030481,,,
146,Independent,,,Akron Cooperative Market,0,PO Box 5737,Akron,OH,44372,(330) 869-2590,41.150868,-81.608894,,,
147,Independent,,,Bexley Natural Food Co-op,0,508 North Cassady Avenue,Columbus,OH,43209,(614) 252-3951,39.981187,-82.93196,,,
148,Independent,,,Clintonville Community Marketcoop,0,200 Crestview Road,Columbus,OH,43202,(614) 261-3663,40.022436,-83.007785,,,
149,Independent,,,Crumb's Bakery,0,94 Columbus Rd,Athens,OH,45701,(740) 592-3803,39.34874,-82.095744,,,
150,Independent,,,Federation of Ohio River Cooperatives,0,"320-E Outerbelt Street, Suite E",Columbus,OH,43213,(614) 861-2446,39.987508,-82.829692,,,
